Time_cycle,Sensor_1,Sensor_2,Sensor_3,Sensor_4,Sensor_5,Sensor_6,Sensor_7,Sensor_8,Sensor_9,Sensor_10
1,491.19,607.76,1486.02,1257.26,9.35,13.65,334.39,2323.86,8709.62,1.08
2,491.19,607.88,1479.31,1248.52,9.35,13.66,334.46,2323.89,8704.23,1.08
3,462.54,536.61,1258.63,1051.53,7.05,9.02,174.93,1915.03,8003.65,0.94
4,491.19,607.72,1486.79,1256.06,9.35,13.66,334.63,2323.93,8714.22,1.08
5,518.67,642.1,1593.3,1408.28,14.62,21.61,553.25,2388.09,9039.07,1.3
6,449.44,555.81,1366.67,1129.43,5.48,8,194.15,2222.69,8332.54,1.02
7,518.67,642.68,1596.84,1410.45,14.62,21.61,553.36,2388.18,9031.26,1.3
8,445,549.95,1352.25,1126.21,3.91,5.71,138.16,2211.57,8308.22,1.02
9,462.54,536.54,1264.96,1051.5,7.05,9.02,176,1915.06,7997.65,0.94
10,491.19,608.29,1483.81,1254.41,9.35,13.66,334.62,2323.96,8705.33,1.07
11,445,549.42,1359.01,1127.87,3.91,5.71,138.22,2211.54,8303.63,1.02
12,489.05,604.88,1505.1,1308.8,10.52,15.5,394.34,2318.99,8764.6,1.26
13,462.54,536.9,1258.41,1044.79,7.05,9.03,174.6,1915.14,7999.19,0.94
14,518.67,642.9,1595.8,1411.43,14.62,21.61,554.15,2388.13,9042.43,1.3
15,491.19,607.67,1485.07,1253.46,9.35,13.65,334.88,2323.94,8702.95,1.08
16,518.67,642.54,1591.81,1409.68,14.62,21.61,553.04,2388.14,9032.21,1.3
17,491.19,607.38,1488.49,1253.5,9.35,13.66,334.85,2323.96,8704.96,1.08
18,489.05,605.34,1501.01,1303.84,10.52,15.49,394,2319.02,8766.05,1.26
19,445,549.44,1353.08,1123.5,3.91,5.71,137.81,2211.54,8308.14,1.02
20,489.05,605.04,1493.97,1309.61,10.52,15.49,394.33,2318.93,8753.54,1.26
21,491.19,607.65,1491.19,1255.13,9.35,13.66,334.73,2323.87,8709.45,1.07
22,449.44,555.54,1371.77,1127.69,5.48,8,194.41,2222.61,8340.38,1.02
23,489.05,604.67,1498.76,1310.74,10.52,15.49,393.58,2319.02,8761.29,1.26
24,445,549.89,1356.38,1131.12,3.91,5.72,138.52,2211.6,8308.72,1.02
25,462.54,536.73,1269.97,1053.92,7.05,9.02,175.43,1915.06,8005.26,0.94
26,445,550.15,1354.57,1125.66,3.91,5.71,138.93,2211.55,8307.57,1.02
