Time_cycle,Sensor_1,Sensor_2,Sensor_3,Sensor_4,Sensor_5,Sensor_6,Sensor_7,Sensor_8,Sensor_9,Sensor_10
1,449.44,555.26,1365.03,1127.28,5.48,8,194.68,2222.92,8345.84,1.02
2,489.05,604.34,1502.99,1309.62,10.52,15.49,395,2318.92,8774.32,1.26
3,489.05,604.74,1498.37,1302.07,10.52,15.49,394.79,2318.91,8769.88,1.26
4,449.44,555.89,1364.88,1130.99,5.48,8,194.3,2222.89,8348.04,1.03
5,489.05,604.44,1492.26,1300.77,10.52,15.49,394.93,2318.91,8775.49,1.26
6,462.54,536.28,1259.41,1044.35,7.05,9.03,176.29,1915.2,8001.76,0.94
7,489.05,604.48,1501.5,1300.69,10.52,15.49,394.71,2318.97,8775.83,1.26
8,462.54,537.45,1256.57,1043.64,7.05,9.03,175.46,1915.33,8013.42,0.94
9,449.44,554.96,1361.18,1124.14,5.48,8,194.32,2222.85,8342.6,1.02
10,462.54,536.35,1260.75,1043.97,7.05,9.03,176.05,1915.28,8006.99,0.94
11,489.05,604.99,1499.5,1305.08,10.52,15.49,394.17,2318.9,8773.18,1.26
12,491.19,607.2,1482.6,1245.39,9.35,13.65,335.34,2323.98,8723.9,1.08
13,489.05,604.53,1501.53,1310.84,10.52,15.49,394.69,2318.94,8773.99,1.26
14,462.54,536.91,1267.58,1042.14,7.05,9.03,175.4,1915.34,8008.44,0.94
15,445,549.43,1339.32,1120.28,3.91,5.71,138.62,2211.83,8314.29,1.02
16,489.05,604.13,1501.26,1303.29,10.52,15.49,395.02,2318.87,8769.94,1.26
17,462.54,536.61,1265.54,1045.07,7.05,9.02,175.81,1915.28,8004.88,0.94
18,489.05,604.11,1497.59,1308.79,10.52,15.49,394.77,2318.87,8771.68,1.26
19,491.19,607.41,1486.4,1246.81,9.35,13.65,334.65,2323.94,8714.36,1.08
20,462.54,536.96,1261.37,1042.77,7.05,9.02,175.42,1915.27,8007.38,0.94
21,449.44,555.76,1364.68,1123.58,5.48,8,194.94,2222.83,8341.94,1.02
22,462.54,536.71,1257.99,1048.08,7.05,9.02,175.75,1915.28,8007.2,0.94
23,462.54,537.06,1255.65,1043.84,7.05,9.03,175.39,1915.25,7999.27,0.94
24,491.19,607.39,1487.85,1251.56,9.35,13.65,334.91,2323.92,8721.4,1.08
25,489.05,604.13,1503.55,1308.15,10.52,15.49,394.87,2318.93,8772.85,1.26
26,445,549.29,1360.6,1119.87,3.91,5.71,138.68,2211.81,8316.52,1.02
27,445,549.92,1352.34,1126.99,3.91,5.72,138.73,2211.77,8315.05,1.02
28,445,549.43,1347.42,1120.59,3.91,5.71,138.43,2211.84,8315.91,1.02
29,445,549.58,1342.2,1123.49,3.91,5.72,138.23,2211.88,8318.91,1.02
30,445,549.43,1354.03,1126.87,3.91,5.71,139.16,2211.78,8319.51,1.02
31,518.67,642.4,1579.95,1408.61,14.62,21.61,554.12,2388.08,9050.85,1.3
32,489.05,604.83,1500.13,1299.59,10.52,15.49,394.51,2318.9,8782.69,1.26
33,518.67,641.81,1582.46,1403.85,14.62,21.61,553.44,2388.1,9057.73,1.3
34,445,549.79,1347.87,1124.55,3.91,5.72,138.64,2211.83,8312.96,1.02
35,518.67,642.67,1586.68,1403.3,14.62,21.61,553.96,2388.05,9053.98,1.3
36,449.44,555.66,1355.54,1129.42,5.48,8,194.26,2222.85,8349.3,1.02
37,449.44,555.53,1366.67,1127.88,5.48,8,195.33,2222.88,8343.71,1.02
38,491.19,606.82,1481.73,1249.75,9.35,13.65,334.78,2323.93,8715.04,1.08
39,489.05,604.39,1491.62,1306.59,10.52,15.49,394.78,2318.91,8771.46,1.26
40,445,549.43,1348.54,1122.86,3.91,5.72,138.99,2211.85,8313.35,1.02
41,449.44,555.75,1369.11,1129.8,5.48,8,194.79,2222.91,8340.96,1.02
42,445,550.06,1356.27,1120.17,3.91,5.71,138.62,2211.84,8318.61,1.02
43,518.67,642.34,1589.63,1397.63,14.62,21.61,553.84,2388.12,9050.91,1.3
44,445,549.63,1354.4,1127.36,3.91,5.71,138.68,2211.83,8320.66,1.02
45,445,548.92,1348.61,1126.12,3.91,5.71,139.05,2211.78,8319.07,1.02
46,445,549.35,1355.74,1123.65,3.91,5.71,138.66,2211.8,8320.01,1.02
47,449.44,555.65,1360.69,1125.98,5.48,8,194.53,2222.83,8342.63,1.02
48,489.05,605,1494.1,1308.53,10.52,15.49,394.95,2318.88,8766.17,1.26
49,462.54,537.14,1269.03,1039.53,7.05,9.03,175.55,1915.35,8012.78,0.94
50,449.44,556.2,1367.17,1121.8,5.48,8,194.6,2222.84,8337.45,1.02
51,462.54,536.38,1258.32,1039.46,7.05,9.02,175.31,1915.27,8007.45,0.94
52,445,549.74,1353.52,1116.91,3.91,5.72,137.72,2211.8,8320.02,1.02
53,518.67,642.13,1585.07,1402.13,14.62,21.61,553.97,2388.12,9052.92,1.3
54,445,548.82,1349.32,1121.14,3.91,5.72,138.37,2211.78,8314.05,1.02
55,462.54,537.12,1255.66,1045.32,7.05,9.03,174.94,1915.32,8010.42,0.94
56,518.67,641.92,1585.26,1401.11,14.62,21.61,554.69,2388.06,9060.77,1.3
57,518.67,642.27,1587.63,1403.26,14.62,21.61,554.14,2388.08,9047.37,1.3
58,491.19,607.32,1486.18,1244,9.35,13.66,334.45,2323.91,8717.39,1.08
59,489.05,604.82,1496.71,1308.93,10.52,15.49,394.07,2318.83,8776.58,1.26
60,445,549.03,1355.64,1126.17,3.91,5.72,138.55,2211.83,8320.85,1.02
61,449.44,555.34,1369.4,1126.14,5.48,8,194.86,2222.82,8347.95,1.02
62,489.05,605.31,1494.3,1304.75,10.52,15.49,394.75,2318.88,8769.62,1.26
63,462.54,536.37,1259.59,1042.03,7.05,9.03,175.94,1915.28,8006.55,0.94
64,489.05,604.79,1499.99,1314.69,10.52,15.49,394.74,2318.9,8779.44,1.26
65,462.54,536.63,1267.49,1049.08,7.05,9.02,176.53,1915.29,8007.32,0.94
66,518.67,642.25,1587.61,1403.27,14.62,21.61,554.08,2388.09,9055.95,1.3
67,489.05,604.93,1495.65,1309.95,10.52,15.49,394.12,2318.93,8776.5,1.26
68,445,549.31,1354.65,1124.01,3.91,5.71,138.64,2211.83,8317.3,1.02
69,489.05,605.02,1494.49,1311.03,10.52,15.49,394.79,2318.97,8777.31,1.26
70,462.54,537.25,1255.61,1049.36,7.05,9.02,175.5,1915.34,8007.05,0.94
71,489.05,604.56,1498.97,1312.72,10.52,15.49,394.28,2318.88,8783.94,1.26
72,462.54,536.01,1251.56,1050.08,7.05,9.03,175.84,1915.34,8017.35,0.94
73,445,549.8,1351.82,1125.95,3.91,5.71,138.96,2211.86,8310.49,1.02
74,491.19,607.26,1485.85,1251.66,9.35,13.65,334.59,2323.95,8715.71,1.08
75,445,549.61,1344.55,1130.69,3.91,5.72,138.35,2211.85,8317.63,1.02
76,462.54,536.5,1258.51,1050.07,7.05,9.02,174.76,1915.32,8012.52,0.94
77,518.67,642.43,1585.83,1406.98,14.62,21.61,553.49,2388.11,9057.04,1.3
78,491.19,607.24,1490.32,1254.57,9.35,13.65,334.55,2323.95,8715.74,1.08
79,462.54,536.95,1263.43,1051.92,7.05,9.03,175.63,1915.3,8006.43,0.94
80,489.05,604.79,1497.44,1305.09,10.52,15.49,394.49,2318.91,8773.14,1.26
81,489.05,604.34,1497,1308.95,10.52,15.49,394.76,2318.86,8776.19,1.26
82,491.19,607.14,1486.87,1252.56,9.35,13.66,335.41,2323.92,8719.65,1.08
83,518.67,642.52,1584.64,1412.69,14.62,21.61,553.72,2388.06,9058.89,1.3
84,462.54,537.13,1263.82,1042.23,7.05,9.03,175.12,1915.3,8012.93,0.94
85,489.05,604.79,1500.71,1313.29,10.52,15.49,393.9,2318.91,8776.18,1.26
86,445,549.22,1356.2,1121.94,3.91,5.72,138.6,2211.89,8319.81,1.02
87,518.67,642.27,1588.62,1404.42,14.62,21.61,553.64,2388.09,9054.54,1.3
88,489.05,605.01,1499.1,1307.74,10.52,15.49,394.6,2318.99,8769.2,1.26
89,518.67,642.68,1594.15,1411.9,14.62,21.61,553.44,2388.14,9058.79,1.3
90,445,549.73,1358.11,1127,3.91,5.72,138.5,2211.93,8320.69,1.02
91,445,549.11,1359.53,1127.2,3.91,5.72,139.04,2211.82,8322.21,1.02
92,489.05,604.91,1496.88,1304.65,10.52,15.49,394.06,2318.94,8786.26,1.26
93,462.54,536.82,1258.47,1052.38,7.05,9.03,175.98,1915.33,8013.48,0.94
94,449.44,555.61,1369.37,1133.66,5.48,8,194.2,2223,8348.89,1.02
95,462.54,536.81,1255.07,1051.63,7.05,9.03,175.51,1915.36,8013.34,0.94
96,489.05,604.79,1494.25,1309.34,10.52,15.49,394.54,2318.96,8781.96,1.26
97,449.44,555.73,1370.48,1138.84,5.48,8,195.03,2222.97,8357.48,1.02
98,518.67,642.86,1599.59,1403.09,14.62,21.61,553.83,2388.1,9058.8,1.3
99,462.54,537.13,1258.92,1048.79,7.05,9.03,175.44,1915.35,8016.74,0.94
100,491.19,607.91,1489.46,1246.84,9.35,13.66,334.44,2323.98,8733.9,1.08
101,489.05,604.68,1511.71,1311.47,10.52,15.49,394.36,2318.94,8779.63,1.26
102,489.05,604.75,1493.7,1304.59,10.52,15.49,394.89,2318.96,8785.46,1.26
103,462.54,536.72,1264.34,1051.85,7.05,9.03,175.34,1915.4,8016.78,0.94
104,445,549.98,1362.37,1125.74,3.91,5.72,138.61,2211.91,8334.61,1.02
105,445,549.58,1362.89,1127.87,3.91,5.71,139.18,2211.93,8325.4,1.02
106,491.19,607.59,1489.01,1245.64,9.35,13.66,334.86,2323.97,8728.19,1.08
107,489.05,605.18,1506.79,1312.54,10.52,15.49,393.92,2318.98,8779.14,1.26
108,489.05,605.07,1513.01,1313.9,10.52,15.49,394.36,2318.96,8781.01,1.26
109,518.67,643.3,1589.99,1405.93,14.62,21.61,552.93,2388.11,9054.5,1.3
110,462.54,536.77,1266,1046.88,7.05,9.03,174.9,1915.41,8011.54,0.94
111,491.19,607.58,1494.87,1251.02,9.35,13.66,334.61,2324.02,8732.47,1.08
112,462.54,537.5,1261.57,1050.65,7.05,9.03,175.76,1915.47,8014.58,0.94
113,462.54,537.18,1265.16,1053.26,7.05,9.03,175.82,1915.44,8014.07,0.94
114,518.67,642.92,1593.49,1410.73,14.62,21.61,552.98,2388.12,9062.23,1.3
115,445,550.6,1351.89,1133.98,3.91,5.72,138.13,2212,8326.55,1.02
116,518.67,643.31,1588.33,1413.26,14.62,21.61,553.82,2388.1,9058.89,1.3
117,489.05,604.97,1501.2,1315.62,10.52,15.49,394.38,2318.96,8786.23,1.26
118,518.67,642.85,1599.31,1408.09,14.62,21.61,553.96,2388.12,9064.27,1.3
119,491.19,607.39,1489.21,1258.85,9.35,13.66,333.81,2324.02,8733.58,1.08
120,449.44,556.03,1372.11,1133.57,5.48,8,194.36,2223.02,8357.93,1.02
121,462.54,537.07,1265.69,1052.59,7.05,9.03,176.03,1915.41,8008,0.94
122,445,549.32,1366.26,1130.67,3.91,5.72,137.64,2212,8331.58,1.02
123,518.67,643.41,1592.08,1413.87,14.62,21.61,552.69,2388.16,9071.71,1.3
124,491.19,607.1,1490.76,1249.15,9.35,13.66,334.75,2324.05,8730.02,1.07
125,518.67,643.3,1599.3,1406.6,14.62,21.61,552.92,2388.15,9065.61,1.3
126,491.19,607.79,1488.24,1261.17,9.35,13.66,334.68,2324.08,8730.14,1.08
127,518.67,643.11,1590.51,1414.5,14.62,21.61,552.96,2388.19,9069.99,1.3
128,518.67,643.23,1593.7,1412.36,14.62,21.61,552.77,2388.17,9071.73,1.3
129,489.05,605.54,1513.39,1311.45,10.52,15.5,394.08,2318.98,8784.15,1.26
130,445,549.94,1355.01,1135.98,3.91,5.71,138.21,2212.11,8331.45,1.02
131,449.44,556.33,1369.08,1132.49,5.48,8,193.58,2223.13,8360.79,1.02
132,445,550.44,1363.45,1133.51,3.91,5.72,138.14,2212.08,8334.52,1.02
133,489.05,605.59,1506.96,1325.59,10.52,15.5,393.57,2319.03,8792.37,1.26
134,518.67,642.69,1600.37,1421.57,14.62,21.61,552.09,2388.16,9073.45,1.3
135,518.67,642.95,1600.32,1411.38,14.62,21.61,551.98,2388.16,9064.41,1.3
136,449.44,556.81,1371.76,1136.61,5.48,8,193.86,2223.19,8369.97,1.02
137,491.19,607.67,1494.61,1264,9.35,13.66,333.77,2324.15,8737.76,1.07
138,462.54,537.21,1269.41,1056.06,7.05,9.03,175.19,1915.55,8026.5,0.94
139,518.67,643.36,1589.77,1415.39,14.62,21.61,552.25,2388.13,9083.14,1.3
140,489.05,605.32,1505.94,1320.68,10.52,15.5,393.5,2319.03,8799.6,1.26
141,445,550.35,1360.12,1145.11,3.91,5.72,138.35,2212.16,8342.74,1.02
142,462.54,536.9,1272.72,1056.21,7.05,9.03,174.69,1915.6,8024.12,0.94
143,491.19,607.96,1484.93,1265.96,9.35,13.66,333.55,2324.19,8746.87,1.07
144,518.67,643.72,1599.64,1411.91,14.62,21.61,552.88,2388.19,9086.59,1.3
145,445,550.3,1360.22,1137.25,3.91,5.72,137.16,2212.21,8342.48,1.02
146,489.05,605.85,1503.1,1327.91,10.52,15.5,393.03,2319.06,8804.62,1.26
147,462.54,537.5,1268.83,1062.21,7.05,9.03,175.69,1915.62,8030.44,0.94
148,489.05,605.68,1504.07,1329.03,10.52,15.5,393.21,2319.14,8809.12,1.26
149,449.44,555.99,1375,1140.27,5.48,8,194.15,2223.35,8371.48,1.02
150,518.67,643.52,1603.4,1425.53,14.62,21.61,551,2388.23,9089.51,1.3
,,,,,,,,,,
